CID,status,stored_prediction,experimental_pLD50,Abs MaxPos-MaxNeg,B02[C-S],P_VSA_charge_10,sm1(GK)[Banerjee-Roy similarity coefficient 1],SP-2,SPC-4
1017,Test,1.9579,1.82,0.782511317,0,0,-1,5.100200143,1.942670774
2347,Train,1.7401,1.87,0.245696828,0,4.592384883,-0.467265797,9.14390207,2.378495532
2391,Train,1.7293,1.31,0.027118252,0,10.48685619,-0.63155021,11.79614978,3.040318622
2787,Test,3.3353,2.47,0.014810193,0,10.48685619,1,14.96193871,8.906625344
2898,Test,2.1496,1.46,0.758311677,0,10.48685619,-0.989590806,11.79614978,3.040318622
3026,Train,1.7242,1.9,1.61e-31,0,0,0.604321979,7.558297871,1.94548283
3259,Train,2.3458,2.32,0.184925235,0,0,-0.999999991,13.48742214,8.024753515
4115,Train,2.9869,2.83,0.73766951,0,10.48685619,1,9.269916603,3.376960498
5502,Train,2.0082,2,0.33516091,0,2.756747554,-0.87056643,11.33614938,4.776525757
6623,Train,1.979,1.98,0.451786619,0,0,-0.89860735,7.734958563,3.72806743
6626,Train,2.3356,2.19,0.033772976,1,0,-0.058565702,7.734958563,3.72806743
6781,Train,1.6383,1.56,0.166454479,0,0,-0.36706464,6.144084309,1.94548283
6782,Test,1.8415,1.44,0.589539707,0,0,-0.62538883,8.509128278,2.522833099
6785,Train,1.8419,1.69,0.661232589,0,0,-0.814100546,7.826606294,2.353731121
6787,Train,1.3159,1.29,0.02561991,0,0,-0.034625608,11.09383178,1.94548283
6819,Train,1.7376,1.43,0.626204611,0,0,-0.770974577,9.240819856,2.353731121
8343,Train,1.9798,2.42,0.996171611,0,0,-1,10.55443902,2.93108139
8344,Train,1.9509,1.95,0.472062378,0,9.184769766,-0.897767401,7.558297871,1.94548283
8346,Test,1.4663,1.78,0.269012832,0,0,-0.269359142,10.386725,1.94548283
8554,Train,1.5648,1.46,0.191686848,0,0,-0.927534681,5.383230621,2.083554018
8573,Train,2.6714,2.79,0.000584744,0,11.771102,0.999998979,7.55535819,3.639551863
10708,Train,1.9035,1.92,0.418759663,0,0,-0.726170942,6.632892214,2.943827178
12442,Train,1.8778,1.82,0.184924919,0,0,-0.999998282,7.079201436,4.087178855
15854,Train,3.0025,3.25,0.057596706,0,11.614578,0.612801118,13.33595025,7.158500874
18725,Train,1.3126,0.96,0.002095523,0,0,-0.999976972,14.81425052,4.404817017
