CID,status,stored_prediction,experimental_pLD50,AATS3p,F10[C-O],minHBint3,P_VSA_charge_10,P_VSA_charge_14,SM1_Dzm
1017,Test,1.9478,1.82,1.478540194,0,0,0,1.819748946,0.997062316
2347,Train,1.8453,1.87,1.30587371,2,0,4.592384883,14.38266095,0.997062316
2391,Train,1.7942,1.31,1.512540752,8,0,10.48685619,14.38266095,1.139562495
2787,Test,2.7036,2.47,1.344105645,16,3.154214904,10.48685619,1.819748946,1.495593475
2898,Test,1.8452,1.46,1.39927929,8,0,10.48685619,14.38266095,0.997062316
3026,Train,1.8424,1.9,1.14701258,0,0,0,14.38266095,0.997062316
3259,Train,2.2833,2.32,2.712238111,0,0,0,7.191330476,4.86774391
4115,Train,2.931,2.83,1.784129303,0,0,10.48685619,0,2.48208546
5502,Train,1.9783,2,1.6109007,5,0,2.756747554,0,1.282062673
6623,Train,1.7111,1.98,1.54473085,0,0,0,0,0.498531158
6626,Train,2.0993,2.19,1.676832561,0,0,0,0,1.622421019
6781,Train,1.7158,1.56,1.268905646,0,0,0,14.38266095,0.997062316
6782,Test,1.7722,1.44,1.214599779,0,0,0,14.38266095,0.997062316
6785,Train,1.5745,1.69,1.248490153,4,0,0,21.57399143,1.495593475
6787,Train,1.7092,1.29,1.075887751,6,0,0,14.38266095,0.997062316
6819,Train,1.6804,1.43,1.146556524,4,0,0,21.57399143,1.495593475
8343,Train,1.705,2.42,1.146398227,4,0,0,14.38266095,0.997062316
8344,Train,2.3227,1.95,1.298816772,2,0,9.184769766,14.38266095,1.495593475
8346,Test,1.7009,1.78,1.083905459,6,0,0,14.38266095,0.997062316
8554,Train,1.4241,1.46,1.549562761,0,0,0,14.38266095,0.997062316
8573,Train,2.7825,2.79,1.409013012,0,3.040235688,11.771102,8.101204949,0.997062316
10708,Train,2.0731,1.92,1.550924946,0,0,0,2.729623419,1.495593475
12442,Train,1.9817,1.82,2.635932,0,0,0,1.819749,3.641801
15854,Train,2.8426,3.25,1.43975978,8,0,11.614578,0,1.994124633
18725,Train,1.131,0.96,1.143594491,20,0,0,21.57399143,1.495593475
20326,Test,3.1619,3.1,1.56193531,0,0,10.48685619,0,2.48208546
20327,Train,3.2745,3.3,1.453555996,0,0,10.48685619,0,2.48208546
23871,Train,2.9219,3.23,1.495307758,0,0,10.48685619,0,1.820900693
24072,Train,1.8296,1.7,1.215443983,14,0,9.184769766,28.7653219,2.243390212
26391,Train,2.5679,2.84,1.522420396,10,2.795495929,15.73028428,14.38266095,1.638093653
30580,Train,2.3811,2.42,1.792547837,0,0,0,0,2.48208546
33934,Train,1.7194,2.15,1.132555016,4,0,0,14.38266095,0.997062316
36713,Train,3.1913,2.89,1.533610502,0,0,10.48685619,0,2.48208546
41819,Train,2.4463,2.15,1.357947581,0,0,10.48685619,0,0.498531158
41821,Train,2.8947,2.67,1.521549342,0,0,10.48685619,0,1.820900693
65913,Train,2.4908,2.58,1.57226973,0,0,10.48685619,0.909874473,1.139562495
70897,Train,2.6372,2.93,2.1730238,8,0,10.48685619,23.319003,5.094641091
76302,Test,2.4314,2,1.744160455,0,0,0,0,2.48208546
100191,Train,3.7768,3.98,1.456374595,21,1.336952028,23.54220399,7.191330476,3.865811231
100570,Test,2.8604,2.97,1.614650978,3,0,15.73028428,0,1.597478856
171260,Test,1.6886,1.01,1.16218618,4,0,0,14.38266095,0.997062316
200529,Test,1.5163,1.18,1.195047784,8,0,0,14.38266095,0.997062316
202896,Train,2.3867,1.77,1.654216569,4,0,0,0,2.48208546
210559,Test,2.431,2.2,1.611591092,4,0,0,0,2.48208546
214768,Train,3.0591,3.08,1.660838734,0,0,10.48685619,0,2.48208546
214769,Test,3.2232,3.71,1.502868584,0,0,10.48685619,0,2.48208546
767036,Train,2.2544,2.13,1.440153673,2,0,5.243428095,0,0.997062316
3034829,Train,2.5367,2.45,1.501991741,17,0,15.07924107,3.143299138,2.001048249
3047066,Train,2.9771,3.25,1.442237512,0,0,10.48685619,0,1.820900693
3047067,Train,2.9475,2.87,1.470694306,0,0,10.48685619,0,1.820900693
3047068,Train,2.4319,2.56,1.371828043,0,0,10.48685619,0,0.498531158
3056769,Test,3.5473,3.83,1.437519281,23,1.303470712,23.54220399,7.191330476,3.489718107
3066198,Train,2.954,2.98,1.395837045,8,1.255555342,20.32266917,7.191330476,1.388828074
3066711,Test,2.6652,3.11,1.633749697,12,3.785568089,15.73028428,8.101204949,1.495593475
3066712,Train,2.5164,2.9,1.601758445,8,0,20.32266917,7.191330476,1.246327895
3066715,Train,2.8793,2.96,1.592918607,11,3.754651667,15.73028428,0.909874473,1.246327895
3066716,Train,2.7273,2.92,1.567770885,7,0,20.32266917,0,0.997062316
3066718,Train,2.9498,2.84,1.459526652,10,0.642799253,20.32266917,0,1.282062673
3079007,Train,3.1688,2.91,1.554477906,7,3.422223938,20.32266917,0,0.997062316
3079008,Test,2.724,2.9,1.591695466,3,0,20.32266917,0,0.747796737
3079009,Train,2.8264,2.94,1.562578725,3,0,15.73028428,0,1.408981505
3089902,Train,2.0717,2.17,1.508167779,16,0,2.756747554,0,2.065594189
4485134,Train,4.414,4.15,1.547238952,18,1.646246521,45.14911897,7.191330476,2.74192137
