No,CID,status,mouse_pLD50,rat_experimental_pLD50,stored_prediction,residual,leverage_h
1,1017,True external,1.8173275438945002,-,1.6859,-,0.0555
2,2787,True external,2.4666823016050192,-,2.3761,-,0.0645
3,3259,True external,2.3200943339030964,-,2.2168,-,0.0557
4,6785,True external,1.6947601823346508,-,1.5479,-,0.0628
5,6787,True external,1.2893607640870623,-,1.1232,-,0.1041
6,8344,True external,1.9455455154071,-,1.824,-,0.0512
7,8573,True external,2.789228057267335,-,2.7159,-,0.0966
8,10708,True external,1.9245687192494707,-,1.7921,-,0.052
9,12442,True external,1.816212719525062,-,1.6859,-,0.0555
10,15854,True external,3.2518814545525276,-,3.2043,-,0.1749
11,18725,True external,0.959677255512141,-,0.7728,-,0.1597
12,20326,True external,3.095401843129975,-,3.0451,-,0.1452
13,20327,True external,3.3028718360676903,-,3.2574,-,0.1857
14,23871,True external,3.2295538639811365,-,3.1831,-,0.1707
15,30580,True external,2.4246303815000187,-,2.323,-,0.0611
16,36713,True external,2.889525796671191,-,2.8221,-,0.1104
17,41819,True external,2.152579524066712,-,2.0363,-,0.0506
18,41821,True external,2.6730823740431453,-,2.5885,-,0.0824
19,76302,True external,1.9967305154351527,-,1.8771,-,0.0504
20,100191,True external,3.9814302663263947,-,3.9795,-,0.3767
21,100570,True external,2.9688563746146923,-,2.907,-,0.1227
22,202896,True external,1.7669790720712297,-,1.6328,-,0.0579
23,210559,True external,2.2007813105558536,-,2.0894,-,0.0516
24,214768,True external,3.0788191830988487,-,3.0238,-,0.1415
25,214769,True external,3.71343453761551,-,3.6928,-,0.291
26,767036,True external,2.1315728406105547,-,2.0151,-,0.0503
27,3047066,True external,3.247113641770864,-,3.2043,-,0.1749
28,3047067,True external,2.866050924009275,-,2.8008,-,0.1075
29,3047068,True external,2.559640676171768,-,2.4717,-,0.0716
30,3056769,True external,3.8328919447597904,-,3.8202,-,0.3275
31,3066711,True external,3.1063474182582707,-,3.0557,-,0.147
32,3066712,True external,2.903524064471262,-,2.8327,-,0.1119
33,3066715,True external,2.9568571740612324,-,2.8964,-,0.1211
34,3066716,True external,2.9185545305502734,-,2.8539,-,0.1149
35,3066718,True external,2.8444960028609723,-,2.769,-,0.1033
36,3079009,True external,2.9395192526186187,-,2.8752,-,0.118
