No,CID,status,mouse_pLD50,rat_experimental_pLD50,stored_prediction,standardized_residual,leverage_h
1,2286,Training,1.338864953,1.4789,1.1751,-0.7135,0.0975
2,2347,Training,1.87457497,2.1274,1.7439,-0.8792,0.0533
3,2391,Training,1.3149501,1.9225,1.1497,-1.818,0.1006
4,2898,Training,1.464668355,1.4824,1.3086,-0.4047,0.0825
5,3026,Training,1.903745809,1.5696,1.7749,0.4704,0.0524
6,4115,Prediction,2.831003558,2.2702,2.7594,1.1517,0.102
7,5502,Training,2.002847843,2.6662,1.8801,-1.7995,0.0504
8,6619,Training,1.860308351,1.6925,1.7287,0.0831,0.0538
9,6623,Prediction,1.978275646,1.8466,1.854,0.0169,0.0507
10,6626,Training,2.194288811,1.7398,2.0834,0.7869,0.0514
11,6781,Training,1.556396311,1.4123,1.406,-0.0146,0.0734
12,6782,Training,1.444575623,1.2685,1.2873,0.0439,0.0847
13,6819,Training,1.427624372,0.6818,1.2693,1.3714,0.0866
14,8346,Training,1.777951161,0.9196,1.6413,1.6582,0.0575
15,8554,Prediction,1.455695584,1.4557,1.2991,-0.3649,0.0835
16,24072,Prediction,1.698632557,1.6701,1.5571,-0.2603,0.0622
17,33934,Training,2.149409283,1.2493,2.0357,1.8004,0.0506
18,65913,Prediction,2.578267374,3.0005,2.4911,-1.1805,0.0733
19,70897,Training,2.934237169,2.3966,2.8691,1.1216,0.1171
20,171260,Training,1.009079658,1.0091,0.8249,-0.4457,0.1502
21,200529,Prediction,1.176758891,1.1768,1.0029,-0.4136,0.1209
22,3034829,Prediction,2.451956914,2.8124,2.357,-1.0496,0.0632
23,3066198,Training,2.976441689,2.9764,2.9139,-0.1491,0.1238
24,3079007,Training,2.90579588,2.9058,2.8389,-0.1585,0.1127
25,3079008,Training,2.901458321,2.9015,2.8342,-0.1591,0.1121
26,3089902,Training,2.166074497,1.9624,2.0534,0.2085,0.0509
27,4485134,Training,4.153012102,4.6189,4.1632,-1.3566,0.4385
