CID,status,experimental_pLD50,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10
2286,Train,1.48,0.151889,0,0.998044,0,19.67163
2347,Test,2.13,0.072894,0,0.997412,0,4.592385
2391,Train,1.92,-0.02793,0,0.998121,2,10.48686
2898,Train,1.48,-0.07256,0,0.998121,0,10.48686
3026,Test,1.57,-0.07564,0,0.996786,0,0
4115,Train,2.27,-0.16788,0,0.996346,0,10.48686
5502,Test,2.67,-0.06325,0,0.994638,3,2.756748
6619,Train,1.69,0.045747,0,0.995396,0,0
6623,Test,1.85,-0.01317,4,0.99711,0,0
6626,Train,1.74,-0.08736,4,0.99711,0,0
6777,Train,1.04,-0.27877,0,0.997757,0,0
6778,Train,1.6,-0.35486,0,0.997757,0,10.48686
6781,Train,1.41,-0.29558,0,0.995429,0,0
6782,Train,1.27,-0.19852,0,0.997174,0,0
6786,Train,1.05,0.093676,0,0.997322,0,0
6788,Train,0.84,-0.00416,0,0.997991,0,0
6819,Train,0.68,-0.06473,0,0.997042,0,0
6963,Train,1.24,-0.02432,0,0.997528,0,0
8269,Train,2.32,0.048572,0,0.996669,2,10.48686
8343,Test,1.11,0.148986,0,0.9962,0,0
8345,Test,1.64,-0.07139,0,0.997528,0,9.18477
8346,Train,0.92,-0.00647,0,0.997704,0,0
8379,Train,0.92,-0.00246,0,0.998308,0,0
8380,Train,0.97,-0.00512,0,0.997857,0,0
8554,Test,1.46,0.427396,0,0.994692,0,0
8560,Train,2.57,-0.10371,0,0.996429,0,9.18477
8571,Test,2.3,-0.17941,4,0.995597,0,0
12111,Train,1.61,-0.10581,4,0.998827,0,0
19283,Train,1.38,-0.00343,0,0.998109,0,0
20393,Train,2.32,0.128388,2,0.996089,0,0
24072,Train,1.67,-0.14961,0,0.997008,0,9.18477
25689,Train,3.29,-0.15384,4,0.998154,2,20.97371
29321,Train,2.95,-0.08235,0,0.996084,2,10.48686
30948,Train,2.67,0.200203,0,0.996189,0,10.48686
33154,Test,0.9,0.032631,0,0.997704,0,0
33599,Train,0.84,-0.00416,0,0.998082,0,0
33934,Test,1.25,-0.08466,0,0.997808,0,0
34277,Train,1.02,0.395761,0,0.997089,0,0
40399,Train,2.29,-0.37323,1,0.994639,0,0
62629,Train,2.35,-0.18745,0,0.997497,0,9.18477
65913,Train,3,-0.21109,4,0.996354,4,10.48686
66540,Test,0.72,-0.02996,0,0.997322,0,0
67846,Train,2.47,-0.3764,4,0.995557,0,0
69046,Train,1.51,-0.17882,6,0.998097,2,0
70897,Test,2.4,-0.19233,0,0.995088,0,10.48686
73864,Train,2,0.434505,4,0.995202,0,0
75903,Train,2.14,-0.11643,0,0.996568,0,13.77715
83119,Train,3.12,0.065434,4,0.998154,2,20.97371
85537,Train,1.67,-0.16166,0,0.997991,0,9.18477
94652,Train,2.59,0.463491,4,0.996853,2,20.97371
94965,Train,2.6,-0.21179,0,0.996429,0,9.18477
158455,Train,1.99,0.188225,0,0.996444,0,9.18477
161559,Train,1.23,-0.00246,0,0.998385,0,0
162076,Train,2.82,-0.21602,8,0.995799,4,0
171260,Test,1.01,0.176351,0,0.996485,0,0
200529,Train,1.18,0.15478,0,0.996245,0,0
205831,Train,0.79,0.19253,0,0.99703,0,4.592385
207344,Train,2.47,-0.21353,6,0.995175,0,0
3034829,Train,2.81,-0.124,4,0.99743,2,15.07924
3066198,Test,2.98,-0.09476,2,0.997655,2,20.32267
3079007,Train,2.91,-0.08451,1,0.997512,0,20.32267
3079008,Train,2.9,-0.09399,0,0.997512,0,20.32267
3079010,Train,2.43,-0.08758,1,0.997512,2,20.32267
3089902,Test,1.96,-0.01342,4,0.997459,4,2.756748
4485134,Train,4.62,-0.03042,1,0.995834,0,45.14912
9588367,Test,3.16,-0.02514,0,0.996473,14,12.73067
9588691,Train,3.11,-0.00146,0,0.99729,14,12.73067
