CID,status,stored_prediction,experimental_pLD50,CATS2D_08_DL,Eig06_EA(dm),JGI10,P_VSA_charge_10,PW3
2286,Train,2.1184,1.48,0,0,0.004775567,19.67162596,0.305078477
2347,Test,1.5062,2.13,0,0,0.003661758,4.592384883,0.315062855
2391,Train,1.8357,1.92,0,0,0.007083825,10.48685619,0.304872872
2898,Train,1.8357,1.48,0,0,0.007083825,10.48685619,0.304872872
3026,Test,1.197,1.57,0,0,0.004132231,0,0.303934837
4115,Train,2.5321,2.27,0,0,0.013740095,10.48685619,0.332797361
5502,Test,2.3992,2.67,0,0.218972497,0.007567255,2.756747554,0.373657608
6619,Train,1.8175,1.69,0,0,0,0,0.375736961
6623,Test,1.8405,1.85,4,0,0,0,0.339115133
6626,Train,1.8405,1.74,4,0,0,0,0.339115133
6777,Train,1.2715,1.04,0,0,0.000836649,0,0.325606295
6778,Train,1.7366,1.6,0,0,0.000836649,10.48685619,0.325606295
6781,Train,1.2248,1.41,0,0,0,0,0.325553467
6782,Train,1.7623,1.27,0,0,0.016528926,0,0.293992557
6786,Train,1.1759,1.05,0,0,0.005675441,0,0.294945698
6788,Train,0.9742,0.84,0,0,0.004423747,0,0.283709273
6819,Train,1.2294,0.68,0,0,0.005399763,0,0.300766728
6963,Train,1.0641,1.24,0,0,0.004387307,0,0.291488336
8269,Train,2.3027,2.32,0,0.286045782,0.007083825,10.48685619,0.336969974
8343,Test,1.5064,1.11,0,0,0.007019692,0,0.316663412
8345,Test,1.4799,1.64,0,0,0.004540353,9.184769766,0.291488336
8346,Train,0.9958,0.92,0,0,0.003783628,0,0.288524884
8379,Train,0.8684,0.92,0,0,0.003643086,0,0.278386756
8380,Train,0.9845,0.97,0,0,0.004128307,0,0.285956558
8554,Test,1.5357,1.46,0,0,0,0,0.351879699
8560,Train,1.934,2.57,0,0,0.008264463,9.184769766,0.312573099
8571,Test,1.9146,2.3,4,0,0,0,0.345388927
12111,Train,1.4538,1.61,4,0,0,0,0.306371406
19283,Train,0.9346,1.38,0,0,0.00412883,0,0.281726375
20393,Train,1.8913,2.32,2,0,0.008944666,0,0.320989785
24072,Train,1.708,1.67,0,0,0.003833428,9.184769766,0.314099438
25689,Train,3.0078,3.29,4,0,0.005494526,20.97371238,0.333571446
29321,Train,2.4978,2.95,0,0.286045782,0.00968937,10.48685619,0.341341103
30948,Train,2.3622,2.67,0,0,0.008249887,10.48685619,0.344012932
33154,Test,1.0562,0.9,0,0,0.004878908,0,0.288524884
33599,Train,0.9701,0.84,0,0,0.005604384,0,0.277858353
33934,Test,1.0686,1.25,0,0,0.006538448,0,0.281838118
34277,Train,1.2754,1.02,0,0,0.011298167,0,0.277153996
40399,Train,1.9436,2.29,1,0,0,0,0.376772807
62629,Train,1.5963,2.35,0,0,0.006528926,9.184769766,0.292073365
65913,Train,2.8146,3,4,0,0.011926221,10.48685619,0.326605149
66540,Test,1.0744,0.72,0,0,0.003833428,0,0.294945698
67846,Train,2.3535,2.47,4,0,0,0,0.382552199
69046,Train,1.9165,1.51,6,0,0,0,0.326256242
70897,Test,2.359,2.4,0,0,0.004675654,10.48685619,0.360411664
73864,Train,2.0617,2,4,0,0,0,0.357843606
75903,Train,2.122,2.14,0,0.636015229,0.004507889,13.77715465,0.312221825
83119,Train,3.0078,3.12,4,0,0.005494526,20.97371238,0.333571446
85537,Train,1.6458,1.67,0,0.86,0.004423747,9.184769766,0.283709273
94652,Train,3.1568,2.59,4,0,0.005509642,20.97371238,0.346112446
94965,Train,1.934,2.6,0,0,0.008264463,9.184769766,0.312573099
158455,Train,2.0491,1.99,0,0,0.00825596,9.184769766,0.322359037
161559,Train,0.8637,1.23,0,0,0.004615375,0,0.273459666
162076,Train,2.7534,2.82,8,0,0,0,0.377831129
171260,Test,1.3776,1.01,0,0,0.006881384,0,0.306405684
200529,Train,1.4224,1.18,0,0,0.007427813,0,0.307649806
205831,Train,1.6972,0.79,0,0,0.006067808,4.592384883,0.320014261
207344,Train,2.5511,2.47,6,0,0,0,0.379995639
3034829,Train,2.5521,2.81,4,0,0.007380923,15.07924107,0.308325136
3066198,Test,2.8148,2.98,2,0,0.007991285,20.32266917,0.327322106
3079007,Train,2.7896,2.91,1,0,0.007218651,20.32266917,0.338434813
3079008,Train,2.6757,2.9,0,0,0.007218651,20.32266917,0.338434813
3079010,Train,2.7896,2.43,1,0,0.007218651,20.32266917,0.338434813
3089902,Test,2.424,1.96,4,0,0.009909193,2.756747554,0.331962394
4485134,Train,4.7168,4.62,1,0.86,0.008811151,45.14911897,0.378589831
9588367,Test,3.0439,3.16,0,2.186422977,0.008258216,12.73066931,0.336393866
9588691,Train,3.1416,3.11,0,2.636518816,0.00767913,12.73066931,0.335661506
