No,CID,status,rat_pLD50,mouse_experimental_pLD50,stored_prediction,residual,leverage_h
1,6777,True external,1.04,-,1.3976,-,0.1063
2,6778,True external,1.6,-,1.8044,-,0.0593
3,6786,True external,1.05,-,1.4049,-,0.1051
4,6788,True external,0.84,-,1.2523,-,0.1327
5,6963,True external,1.24,-,1.5429,-,0.085
6,8269,True external,2.32,-,2.3275,-,0.0572
7,8345,True external,1.64,-,1.8335,-,0.0574
8,8379,True external,0.92,-,1.3104,-,0.1216
9,8380,True external,0.97,-,1.3468,-,0.115
10,8560,True external,2.57,-,2.5091,-,0.0718
11,8571,True external,2.3,-,2.3129,-,0.0564
12,12111,True external,1.61,-,1.8117,-,0.0588
13,19283,True external,1.38,-,1.6446,-,0.073
14,20393,True external,2.32,-,2.3275,-,0.0572
15,25689,True external,3.29,-,3.0321,-,0.1582
16,29321,True external,2.95,-,2.7851,-,0.1092
17,30948,True external,2.67,-,2.5817,-,0.0799
18,31315,True external,3.55,-,3.221,-,0.2055
19,33154,True external,0.9,-,1.2959,-,0.1243
20,33599,True external,0.84,-,1.2523,-,0.1327
21,34277,True external,1.02,-,1.3831,-,0.1087
22,40399,True external,2.29,-,2.3057,-,0.056
23,62629,True external,2.35,-,2.3493,-,0.0585
24,66540,True external,0.72,-,1.1651,-,0.151
25,67846,True external,2.47,-,2.4364,-,0.065
26,69046,True external,1.51,-,1.739,-,0.0642
27,73864,True external,2,-,2.095,-,0.05
28,75903,True external,2.14,-,2.1967,-,0.0516
29,83119,True external,3.12,-,2.9086,-,0.1319
30,85537,True external,1.67,-,1.8553,-,0.0562
31,94652,True external,2.59,-,2.5236,-,0.0733
32,94965,True external,2.6,-,2.5309,-,0.0741
33,158455,True external,1.99,-,2.0877,-,0.05
34,161559,True external,1.23,-,1.5356,-,0.0859
35,162076,True external,2.82,-,2.6907,-,0.0944
36,205831,True external,0.79,-,1.216,-,0.1401
37,3079010,True external,2.43,-,2.4074,,0.0627
38,9588367,True external,3.16,-,2.9377,,0.1377
39,9588691,True external,3.11,-,2.9014,,0.1304
