No,CID,status,rat_pLD50,mouse_experimental_pLD50,stored_prediction,standardized_residual,leverage_h
1,2286,Training,1.478911108,1.3389,1.7165,0.9838,0.0661
2,2347,Training,2.127355104,1.8746,2.1875,0.809,0.0513
3,2391,Training,1.922504401,1.315,2.0387,1.87,0.0502
4,2898,Training,1.482397122,1.4647,1.719,0.6626,0.0659
5,3026,Prediction,1.569572269,1.9037,1.7823,-0.3155,0.0608
6,4115,Training,2.27022982,2.831,2.2913,-1.3981,0.0552
7,5502,Training,2.666177491,2.0028,2.5789,1.512,0.0796
8,6619,Training,1.692494028,1.8603,1.8716,0.0293,0.0553
9,6623,Training,1.846603527,1.9783,1.9836,0.0137,0.0512
10,6626,Training,1.739825078,2.1943,1.906,-0.7462,0.0537
11,6781,Training,1.412323777,1.5564,1.6681,0.2917,0.0706
12,6782,Prediction,1.268484364,1.4446,1.5636,0.3128,0.0823
13,6819,Training,0.681757947,1.4276,1.1374,-0.7961,0.1572
14,8346,Training,0.919634381,1.778,1.3102,-1.2568,0.1216
15,8554,Training,1.455695584,1.4557,1.6996,0.636,0.0676
16,24072,Prediction,1.670077097,1.6986,1.8553,0.4061,0.0562
17,33934,Training,1.249309558,2.1494,1.5497,-1.578,0.0841
18,65913,Prediction,3.000515177,2.5783,2.8218,0.6521,0.1156
19,70897,Training,2.396635167,2.9342,2.3831,-1.4319,0.0608
20,171260,Training,1.009079658,1.0091,1.3751,0.9771,0.1101
21,200529,Prediction,1.176758891,1.1768,1.497,0.8457,0.0912
22,3034829,Training,2.812359763,2.452,2.6851,0.6167,0.0936
23,3066198,Training,2.976441689,2.9764,2.8043,-0.46,0.1125
24,3079007,Prediction,2.90579588,2.9058,2.753,-0.4064,0.1039
25,3079008,Training,2.901458321,2.9015,2.7499,-0.4031,0.1034
26,3089902,Prediction,1.962358321,2.1661,2.0677,-0.2543,0.05
27,4485134,Training,4.618852346,4.153,3.9975,-0.5484,0.4899
