"Table S1.Detailed statistic information of the training, test and true external sets in the Mouse-QSTR models  ",,,,,,,,,,,,,,
Mouse-QSTR Model,Compound Information,,,,Mouse-QSTR Model-Descriptor Value,,,,,,Predicted Activity by  Mouse-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATS3p,F10[C-O],minHBint3,P_VSA_charge_10,P_VSA_charge_14,SM1_Dzm,Predicted endpoint,Residual,HAT i/i (h*=0.4375),
Modeling Compounds,1,1017,Test,1.82,1.47854,0,0,0,1.819749,0.997062,1.9478,0.4801,0.0638,
Training 48,2,2347,Train,1.87,1.305874,2,0,4.592385,14.38266,0.997062,1.8453,-0.093,0.067,
 Test 15,3,2391,Train,1.31,1.512541,8,0,10.48686,14.38266,1.139562,1.7942,1.8864,0.1299,
All 63,4,2787,Test,2.47,1.344106,16,3.154215,10.48686,1.819749,1.495593,2.7036,1.0854,0.3884,
,5,2898,Test,1.46,1.399279,8,0,10.48686,14.38266,0.997062,1.8452,1.482,0.1076,
,6,3026,Train,1.9,1.14701258,0,0,0,14.38266095,0.997062316,1.8424,-0.2198,0.0942,
,7,3259,Train,2.32,2.712238,0,0,0,7.19133,4.867744,2.2833,-0.169,0.3785,
,8,4115,Train,2.83,1.784129,0,0,10.48686,0,2.482085,2.931,0.3794,0.0648,
,9,5502,Train,2,1.610901,5,0,2.756748,0,1.282063,1.9783,-0.0824,0.0864,
,10,6623,Train,1.98,1.544731,0,0,0,0,0.498531,1.7111,-1.0391,0.1154,
,11,6626,Train,2.19,1.676833,0,0,0,0,1.622421,2.0993,-0.3411,0.067,
,12,6781,Train,1.56,1.268906,0,0,0,14.38266,0.997062,1.7158,0.5894,0.0773,
,13,6782,Test,1.44,1.2146,0,0,0,14.38266,0.997062,1.7722,1.2604,0.0824,
,14,6785,Train,1.69,1.24849,4,0,0,21.57399,1.495593,1.5745,-0.4445,0.1077,
,15,6787,Train,1.29,1.075888,6,0,0,14.38266,0.997062,1.7092,1.597,0.0899,
,16,6819,Train,1.43,1.146557,4,0,0,21.57399,1.495593,1.6804,0.9713,0.1222,
,17,8343,Train,2.42,1.146398,4,0,0,14.38266,0.997062,1.705,-2.7015,0.0747,
,18,8344,Train,1.95,1.298817,2,0,9.18477,14.38266,1.495593,2.3227,1.4106,0.0778,
,19,8346,Test,1.78,1.083905,6,0,0,14.38266,0.997062,1.7009,-0.3012,0.0882,
,20,8554,Train,1.46,1.549563,0,0,0,14.38266,0.997062,1.4241,-0.1386,0.1151,
,21,8573,Train,2.79,1.409013,0,3.040236,11.7711,8.101205,0.997062,2.7825,-0.0319,0.2759,
,22,10708,Train,1.92,1.550925,0,0,0,2.729623,1.495593,2.0731,0.5719,0.0531,
,23,12442,Train,1.82,2.635932,0,0,0,1.819749,3.641801,1.9817,0.7235,0.3398,
,24,15854,Train,3.25,1.43976,8,0,11.61458,0,1.994125,2.8426,-1.5386,0.074,
,25,18725,Train,0.96,1.143594,20,0,0,21.57399,1.495593,1.131,0.7429,0.3,
