"Table S2.Detailed statistic information of the training, test and true external sets in the Rat-QSTR models  ",,,,,,,,,,,,,
Rat-QSTR Model,Compound Information,,,,Rat-QSTR Model-Descriptor Value,,,,,Predicted Activity by  Rat-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10,Predicted endpoint,Residual,HAT i/i (h*=0.3529),
Modeling Compounds,1,2286,Train,1.48,0.151889,0,0.998044,0,19.67163,2.1773,2.1971,0.0991,
Training 51,2,2347,Test,2.13,0.072894,0,0.997412,0,4.592385,1.4062,-2.2073,0.038,
 Test 16,3,2391,Train,1.92,-0.02793,0,0.998121,2,10.48686,1.8083,-0.3434,0.0546,
All 67,4,2898,Train,1.48,-0.07256,0,0.998121,0,10.48686,1.6855,0.6311,0.0518,
,5,3026,Test,1.57,-0.07564,0,0.996786,0,0,1.379,-0.5839,0.0424,
,6,4115,Train,2.27,-0.16788,0,0.996346,0,10.48686,2.2682,-0.0055,0.055,
,7,5502,Test,2.67,-0.06325,0,0.994638,3,2.756748,2.4134,-0.8588,0.2017,
,8,6619,Train,1.69,0.045747,0,0.995396,0,0,1.7091,0.0603,0.1057,
,9,6623,Test,1.85,-0.01317,4,0.99711,0,0,1.675,-0.5453,0.0789,
,10,6626,Train,1.74,-0.08736,4,0.99711,0,0,1.7228,-0.0536,0.0764,
,11,6777,Train,1.04,-0.27877,0,0.997757,0,0,1.2245,0.576,0.0824,
,12,6778,Train,1.6,-0.35486,0,0.997757,0,10.48686,1.9742,1.1809,0.102,
,13,6781,Train,1.41,-0.29558,0,0.995429,0,0,1.9191,1.6359,0.1337,
,14,6782,Train,1.27,-0.19852,0,0.997174,0,0,1.344,0.2275,0.0542,
,15,6786,Train,1.05,0.093676,0,0.997322,0,0,1.1126,0.1923,0.0518,
,16,6788,Train,0.84,-0.00416,0,0.997991,0,0,0.9789,0.4279,0.0571,
,17,6819,Train,0.68,-0.06473,0,0.997042,0,0,1.2966,1.8822,0.0401,
