"Table S3. Detailed statistic information of the training, test and true external sets in the optimal Mouse-Rat iQTTR model and the optimal Rat-Mouse iQTTR model",,,,,,,,
Mouse-Rat iQTTR Model,No.,CID,Status,Descriptor (Mouse pLD50) Value,Exp. endpoint,Predicted endpoint,Residual,HAT i/i (h*=0.3000)
Modeling Compounds,1,2286,Training,1.338864953,1.4789,1.1751,-0.7135,0.0975
Training 20,2,2347,Training,1.87457497,2.1274,1.7439,-0.8792,0.0533
 Test 7,3,2391,Training,1.3149501,1.9225,1.1497,-1.818,0.1006
All 27,4,2898,Training,1.464668355,1.4824,1.3086,-0.4047,0.0825
,5,3026,Training,1.903745809,1.5696,1.7749,0.4704,0.0524
,6,4115,Prediction,2.831003558,2.2702,2.7594,1.1517,0.102
,7,5502,Training,2.002847843,2.6662,1.8801,-1.7995,0.0504
,8,6619,Training,1.860308351,1.6925,1.7287,0.0831,0.0538
,9,6623,Prediction,1.978275646,1.8466,1.854,0.0169,0.0507
,10,6626,Training,2.194288811,1.7398,2.0834,0.7869,0.0514
,11,6781,Training,1.556396311,1.4123,1.406,-0.0146,0.0734
,12,6782,Training,1.444575623,1.2685,1.2873,0.0439,0.0847
,13,6819,Training,1.427624372,0.6818,1.2693,1.3714,0.0866
,14,8346,Training,1.777951161,0.9196,1.6413,1.6582,0.0575
,15,8554,Prediction,1.455695584,1.4557,1.2991,-0.3649,0.0835
,16,24072,Prediction,1.698632557,1.6701,1.5571,-0.2603,0.0622
,17,33934,Training,2.149409283,1.2493,2.0357,1.8004,0.0506
,18,65913,Prediction,2.578267374,3.0005,2.4911,-1.1805,0.0733
,19,70897,Training,2.934237169,2.3966,2.8691,1.1216,0.1171
,20,171260,Training,1.009079658,1.0091,0.8249,-0.4457,0.1502
,21,200529,Prediction,1.176758891,1.1768,1.0029,-0.4136,0.1209
,22,3034829,Prediction,2.451956914,2.8124,2.357,-1.0496,0.0632
,23,3066198,Training,2.976441689,2.9764,2.9139,-0.1491,0.1238
,24,3079007,Training,2.90579588,2.9058,2.8389,-0.1585,0.1127
,25,3079008,Training,2.901458321,2.9015,2.8342,-0.1591,0.1121
,26,3089902,Training,2.166074497,1.9624,2.0534,0.2085,0.0509
,27,4485134,Training,4.153012102,4.6189,4.1632,-1.3566,0.4385
 Total Number of True External Compounds = 36,No.,CID,Status,Descriptor (Mouse pLD50) Value,Exp. endpoint,Predicted endpoint,Residual,HAT i/i (h*=0.3000)
,1,1017,True external,1.8173275438945002,-,1.6859,-,0.0555
,2,2787,True external,2.4666823016050192,-,2.3761,-,0.0645
,3,3259,True external,2.3200943339030964,-,2.2168,-,0.0557
,4,6785,True external,1.6947601823346508,-,1.5479,-,0.0628
,5,6787,True external,1.2893607640870623,-,1.1232,-,0.1041
,6,8344,True external,1.9455455154071,-,1.824,-,0.0512
,7,8573,True external,2.789228057267335,-,2.7159,-,0.0966
,8,10708,True external,1.9245687192494707,-,1.7921,-,0.052
,9,12442,True external,1.816212719525062,-,1.6859,-,0.0555
,10,15854,True external,3.2518814545525276,-,3.2043,-,0.1749
,11,18725,True external,0.959677255512141,-,0.7728,-,0.1597
,12,20326,True external,3.095401843129975,-,3.0451,-,0.1452
,13,20327,True external,3.3028718360676903,-,3.2574,-,0.1857
,14,23871,True external,3.2295538639811365,-,3.1831,-,0.1707
,15,30580,True external,2.4246303815000187,-,2.323,-,0.0611
,16,36713,True external,2.889525796671191,-,2.8221,-,0.1104
,17,41819,True external,2.152579524066712,-,2.0363,-,0.0506
,18,41821,True external,2.6730823740431453,-,2.5885,-,0.0824
,19,76302,True external,1.9967305154351527,-,1.8771,-,0.0504
,20,100191,True external,3.9814302663263947,-,3.9795,-,0.3767
,21,100570,True external,2.9688563746146923,-,2.907,-,0.1227
,22,202896,True external,1.7669790720712297,-,1.6328,-,0.0579
,23,210559,True external,2.2007813105558536,-,2.0894,-,0.0516
,24,214768,True external,3.0788191830988487,-,3.0238,-,0.1415
,25,214769,True external,3.71343453761551,-,3.6928,-,0.291
,26,767036,True external,2.1315728406105547,-,2.0151,-,0.0503
,27,3047066,True external,3.247113641770864,-,3.2043,-,0.1749
,28,3047067,True external,2.866050924009275,-,2.8008,-,0.1075
,29,3047068,True external,2.559640676171768,-,2.4717,-,0.0716
,30,3056769,True external,3.8328919447597904,-,3.8202,-,0.3275
,31,3066711,True external,3.1063474182582707,-,3.0557,-,0.147
,32,3066712,True external,2.903524064471262,-,2.8327,-,0.1119
