Table S7. The PRI result of 1913 true external FCOCs using the optimal Mouse-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
1762,3,2,3,3,Good,4.073471078,In,4485134,0.193552139,0.829867566
6779,2,3,3,3,Good,1.848867278,In,3026,0.002548171,0.994211281
6960,2,3,3,3,Good,1.371489207,In,18725,0.149307605,0.858224903
8345,2,3,3,3,Good,2.386495839,In,6787,0.169831363,0.730787143
8558,2,3,3,3,Good,1.745409566,In,33934,0.011090095,0.981625014
8559,2,3,3,3,Good,1.806380444,In,3026,0.014322124,0.968489429
8561,2,3,3,3,Good,1.728710242,In,33934,0.003979789,0.993405957
8970,2,3,3,3,Good,1.543504063,In,6787,0.081464347,0.854655206
11689,2,3,3,3,Good,2.482555081,In,30580,0.224263585,0.596587957
14902,2,3,3,3,Good,1.686404469,In,6787,0.009845186,0.985232128
28124,2,3,3,3,Good,1.837353626,In,6785,0.199704209,0.743007325
28813,2,3,3,3,Good,1.807331638,In,3026,0.013944432,0.969294886
36426,2,3,3,3,Good,2.117538441,In,33934,0.090405023,0.788265515
39180,2,3,3,3,Good,1.765701475,In,33934,0.03484299,0.934541684
61333,2,3,3,3,Good,1.282550585,In,18725,0.066098742,0.926693122
66539,2,3,2,3,Good,2.820117987,In,8573,0.208490375,0.689481786
69060,2,3,3,3,Good,2.321771204,In,8344,0.165279749,0.798003344
69119,2,3,3,3,Good,1.837513908,In,8554,0.104868793,0.805114356
73717,2,3,3,3,Good,1.464925788,In,18725,0.236541527,0.788407623
73718,2,3,3,3,Good,1.451785166,In,18725,0.236165695,0.792348853
73719,2,3,3,3,Good,1.471159229,In,6785,0.135681142,0.854859567
74432,2,3,3,3,Good,2.933140295,In,70897,0.357785237,0.655377325
75560,2,3,3,3,Good,1.243123543,In,24072,0.15806465,0.837107805
76389,2,3,3,3,Good,2.652347292,In,8554,0.393963328,0.607396006
77861,2,3,3,3,Good,2.028724143,In,2347,0.116676779,0.759732775
79253,2,3,3,3,Good,1.820952792,In,3026,0.008535866,0.980977802
81346,2,3,3,3,Good,2.513849425,In,30580,0.39695148,0.497861175
81724,2,3,3,3,Good,1.801325279,In,3026,0.016329384,0.964231155
82047,3,3,2,3,Good,2.645290093,In,8573,0.320916825,0.539054472
83310,2,3,3,3,Good,2.026116423,In,6626,0.03003814,0.934241984
84135,2,3,3,3,Good,2.256869607,In,8344,0.08799324,0.862160796
84206,2,3,3,3,Good,1.676004656,In,6787,0.071651448,0.882427815
86117,2,3,3,3,Good,1.561382258,In,6787,0.077790357,0.863330642
86118,2,3,3,3,Good,1.542113741,In,6787,0.10846069,0.832276521
88370,2,3,3,3,Good,1.376260751,In,8554,0.019268381,0.969608787
92344,2,3,3,3,Good,1.593669729,In,6787,0.07277974,0.879452802
95071,2,3,3,3,Good,2.22084607,In,8344,0.058415389,0.902436238
95221,3,3,3,3,Good,3.663312066,In,3066716,0.283059901,0.634134722
100045,3,3,3,3,Good,2.152635297,In,767036,0.085275272,0.683937349
101371,3,3,3,3,Good,2.485660982,In,8573,0.289290446,0.588192806
101409,2,3,3,3,Good,1.829712534,In,8343,0.087889467,0.81193558
102047,2,3,3,3,Good,1.778646127,In,3026,0.064340082,0.868401823
102570,2,3,3,3,Good,1.513141072,In,8554,0.088084391,0.821397407
103667,2,3,3,3,Good,1.691654902,In,33934,0.034600241,0.941409851
103767,3,3,3,3,Good,2.255936071,In,65913,0.182513287,0.670713176
103924,2,3,3,3,Good,2.148247023,In,2391,0.111680877,0.882408462
104048,2,3,3,3,Good,2.215357867,In,24072,0.322599919,0.762054913
104136,3,3,3,3,Good,3.099604233,In,3079007,0.220273736,0.700771445
104162,2,3,3,3,Good,2.190122575,In,24072,0.311319383,0.715424537
104429,2,3,3,3,Good,1.686404469,In,6787,0.009845186,0.985232128
104473,3,3,3,3,Good,2.275587567,In,10708,0.119429565,0.536239032
105735,2,3,3,3,Good,1.741922774,In,2391,0.174250142,0.813267266
105788,3,3,3,3,Good,1.575768371,In,10708,0.139853083,0.603005263
105801,2,3,3,3,Good,2.610569515,In,2391,0.35909567,0.70697992
105907,3,3,3,3,Good,2.3428601,In,65913,0.109450898,0.67013704
106363,2,3,3,3,Good,2.934811338,In,3066712,0.200403596,0.781285303
107454,2,3,3,3,Good,2.536666861,In,3034829,1.38E-10,1
107991,3,3,3,3,Good,2.504346592,In,65913,0.027763474,0.927538259
108219,3,3,3,3,Good,2.514385642,In,65913,0.086513839,0.776500758
108406,2,3,3,3,Good,1.710113814,In,33934,0.036119105,0.929091278
109030,3,3,3,3,Good,3.645025043,In,3079009,0.252442785,0.554952677
109126,2,3,3,3,Good,1.178988835,In,18725,0.090640293,0.911925314
109238,2,3,3,3,Good,1.087323089,In,18725,0.015896786,0.987060398
109377,2,3,3,3,Good,2.236830023,In,202896,0.277262555,0.646978196
109430,2,3,3,3,Good,1.550200479,In,6787,0.107630359,0.835976802
109431,2,3,3,3,Good,2.489190316,In,24072,0.190271903,0.818655885
110044,2,3,3,3,Good,2.62008567,In,2391,0.204851321,0.75305381
110393,2,3,3,3,Good,1.67144946,In,6787,0.035005967,0.947533735
111272,3,3,3,3,Good,2.536326643,In,3079009,0.121745631,0.770721831
112193,2,3,3,3,Good,3.099393912,In,3066716,0.141663404,0.809636189
112770,2,3,3,3,Good,1.63291436,In,10708,0.149183107,0.564100235
113063,2,3,3,3,Good,2.098872219,In,6626,0.035006832,0.896715729
113161,2,3,3,3,Good,1.636921748,In,6787,0.069970494,0.902017707
113216,2,3,3,3,Good,1.639944368,In,6787,0.069956727,0.903637997
113403,2,3,3,3,Good,1.651876757,In,6787,0.036337471,0.936116137
113488,2,3,3,3,Good,3.316866465,In,3066712,0.325771355,0.610375306
113489,2,3,3,3,Good,1.650982347,In,6787,0.070113248,0.897299909
113492,2,3,3,3,Good,2.890029105,In,15854,0.079796003,0.890572538
114500,2,3,2,3,Good,2.408087873,In,18725,0.328739814,0.666399869
114581,2,3,3,3,Good,1.84087605,In,10708,0.176598882,0.420641751
115482,2,3,3,3,Good,2.876196694,In,70897,0.378938086,0.590538725
116934,2,3,3,3,Good,1.751791989,In,6781,0.014401529,0.970846169
117006,2,3,3,3,Good,2.70110842,In,6785,0.37929738,0.55994184
117291,3,3,3,3,Good,2.64902086,In,3079009,0.118936096,0.755154202
117425,3,3,3,3,Good,1.73868436,In,6623,0.050486831,0.728928682
118190,2,3,3,3,Good,2.62020926,In,3066716,0.127017199,0.768125055
118320,3,3,3,3,Good,3.266571557,In,3079009,0.135718937,0.773335338
119530,2,3,3,3,Good,1.691304389,In,6781,0.009787281,0.980571978
120307,2,3,3,3,Good,2.335645742,In,24072,0.321949271,0.679461707
121550,2,3,3,3,Good,2.632701277,In,15854,0.110130686,0.869446984
121657,3,3,3,3,Good,2.995244988,In,3066712,0.236948986,0.724405313
121712,2,3,3,3,Good,3.585153767,In,3066716,0.199319561,0.70467487
122297,2,3,3,3,Good,1.673472717,In,8343,0.013429063,0.97847121
