Table S8. The PRI result of 1909 true external FCOCs using the optimal Rat-QSTR model,,,,,,,,,,
CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
6818,2,3,3,3,Good,1.3813048,In,68,0.092163272,0.867683422
6820,3,3,3,3,Good,2.066183246,In,31,0.269836095,0.668254651
10603,2,3,3,3,Good,1.959246138,In,31,0.157482818,0.78331666
11283,2,3,3,3,Good,2.905611219,In,80,0.33602223,0.597163507
11289,2,3,3,3,Good,2.721582575,In,6,0.145205012,0.747602945
11799,2,3,3,3,Good,1.84319264,In,13,0.323730962,-0.084868807
17082,3,3,3,3,Good,0.912559366,In,23,0.018224299,0.982699406
17159,2,3,3,3,Good,1.921778397,In,8,0.174705638,0.672975763
19284,2,3,3,3,Good,1.117811153,In,18,0.016596502,0.983114949
36655,2,3,3,3,Good,1.552033884,In,8,0.111110399,0.840542809
36656,2,3,3,3,Good,1.853248502,In,8,0.1082957,0.748098247
39179,3,3,3,3,Good,1.012718292,In,16,0.036368064,0.958828818
43109,2,3,3,3,Good,2.530888032,In,44,0.279663823,-0.09164286
62153,2,3,3,3,Good,1.259433566,In,17,0.032017359,0.956492342
67031,3,3,3,3,Good,1.859247001,In,12,0.06911469,0.887503441
69059,2,3,3,3,Good,1.172432297,In,15,0.048953305,0.935935464
69455,2,3,3,3,Good,1.989345524,In,8,0.225827621,0.588066367
74411,2,3,3,3,Good,1.312166035,In,17,0.028379306,0.954480587
74926,2,3,3,3,Good,2.20166704,In,37,0.1545434,0.782050033
77007,2,3,3,3,Good,1.158753436,In,18,0.020930113,0.975874369
86119,2,3,3,3,Good,1.510655805,In,68,0.090759799,0.857873417
86297,2,3,3,3,Good,1.04503071,In,24,0.023888045,0.970245473
87301,3,3,3,3,Good,2.820188976,In,49,0.324980344,0.43128554
88003,3,3,3,3,Good,0.960803535,In,40,0.005965646,0.993984511
88403,3,3,3,3,Good,0.953378346,In,16,0.046903991,0.954248443
89352,2,3,3,3,Good,2.95032987,In,49,0.213428154,0.479069874
89726,2,3,3,3,Good,1.634420493,In,8,0.344218072,0.546062149
92328,2,3,2,3,Good,2.846820062,In,44,0.294170008,-0.231788776
92709,2,3,2,3,Good,2.34865606,In,44,0.235754439,-0.625722736
95524,2,3,3,3,Good,1.358316482,In,68,0.143800826,0.796053835
95886,2,3,3,3,Good,1.753365207,In,8,0.284195645,0.550391189
96361,2,3,3,3,Good,1.073627368,In,22,0.014202051,0.98587783
98024,2,3,3,3,Good,1.24280301,In,15,0.091550104,0.874848296
100492,2,3,3,3,Good,3.410846239,In,79,0.292436792,0.690005037
100578,2,3,3,3,Good,3.377827544,In,79,0.254181281,0.796920576
101019,2,3,3,3,Good,1.60345033,In,54,0.370989938,0.632586721
101393,2,3,3,3,Good,1.359224026,In,68,0.022803065,0.972729953
101548,2,3,3,3,Good,1.087716366,In,22,0.026834891,0.969377075
102723,3,3,3,3,Good,1.854963124,In,51,0.181001913,0.80274852
102724,3,3,2,3,Good,2.177009647,In,51,0.2616733,0.705831659
102940,2,3,3,3,Good,1.385275345,In,68,0.015029976,0.980132893
102942,3,3,1,3,Good,3.407757086,Outside AD,63,0.345186599,0.636742692
102991,3,3,3,3,Good,1.671999372,In,4,0.11731714,0.851482886
103247,2,3,3,3,Good,2.79064907,In,1,0.245678142,0.767691054
103942,3,3,2,3,Good,2.078267355,In,51,0.236423666,0.758934781
104154,3,3,3,3,Good,2.436565372,In,72,0.197081544,0.814130036
104460,2,3,3,3,Good,3.170244206,In,80,0.206670817,0.759315759
104508,3,2,3,3,Good,3.891177464,In,56,0.445604222,0.649826537
104635,3,3,3,3,Good,0.926207189,In,30,0.013670104,0.982701202
104913,2,3,3,3,Good,1.976337806,In,33,0.122729856,0.857841521
105325,3,3,3,3,Good,1.825311022,In,51,0.128140024,0.872835044
105380,2,3,3,3,Good,3.14826291,In,37,0.446384285,0.625750072
106126,3,3,3,3,Good,2.256882793,In,79,0.106982767,0.862902018
106785,2,3,1,3,Good,3.186123375,Outside AD,63,0.419920858,0.621791556
106853,2,3,3,3,Good,2.435231056,In,49,0.243674514,0.450652753
108585,2,3,3,3,Good,3.210388895,In,19,0.315998472,0.63681035
108586,2,3,3,3,Good,2.882760321,In,37,0.235068049,0.74590354
108933,2,3,3,3,Good,2.088119185,In,56,0.239168562,0.824854932
109139,3,2,3,3,Good,3.845028573,In,34,0.343491726,0.718971116
109327,2,3,3,3,Good,3.076552798,In,80,0.26449188,0.732835746
109428,2,3,3,3,Good,1.354942408,In,68,0.104549362,0.847306083
110384,2,3,3,3,Good,3.146626875,In,47,0.301957654,0.704944653
110678,2,3,3,3,Good,2.983283283,In,56,0.262171683,0.803623785
110837,2,3,3,3,Good,2.089750339,In,26,0.148693741,0.819640274
110990,3,3,3,3,Good,2.083106111,In,57,0.102384796,0.875310609
111281,2,3,3,3,Good,1.645738387,In,8,0.122604687,0.819549459
111358,2,3,3,3,Good,2.756443983,In,37,0.299207595,0.602413296
111466,3,3,3,3,Good,2.775084728,In,49,0.25374722,0.559930767
111542,2,3,3,3,Good,1.882523767,In,61,0.105359891,0.879619704
111707,2,3,3,3,Good,2.424665753,In,37,0.274590647,0.703065372
112194,2,3,3,3,Good,1.088955351,In,22,0.056952303,0.923832201
112746,2,3,3,3,Good,2.076691133,In,70,0.242790064,0.588356162
112787,3,3,1,3,Good,3.314372571,Outside AD,63,0.488277729,0.471807649
112875,3,3,3,3,Good,2.486394241,In,72,0.204556945,0.796169097
112882,2,3,3,3,Good,1.349337925,In,68,0.098825429,0.854809477
113415,2,3,3,3,Good,1.093625078,In,15,0.043714757,0.941980487
113428,2,3,3,3,Good,2.506174693,In,13,0.195712167,0.430584434
113467,2,3,3,3,Good,1.138140546,In,15,0.028379185,0.967542828
113491,2,3,3,3,Good,1.048178972,In,42,0.1118768,0.895076449
113585,2,3,3,3,Good,3.147416366,In,1,0.222105648,0.762480748
114498,2,3,3,3,Good,3.115585212,In,1,0.248743226,0.772148904
114499,3,3,1,3,Good,3.508646035,Outside AD,63,0.477855159,0.530656629
115343,2,3,3,3,Good,3.11055471,In,78,0.247114012,0.764155549
115833,2,3,3,3,Good,1.814864056,In,8,0.322376058,0.477708837
117089,2,3,3,3,Good,2.145308488,In,1,0.070447401,0.928632239
117095,3,3,3,3,Good,2.872629226,In,70,0.237710399,0.64446574
117272,3,3,3,3,Good,3.159349745,In,47,0.255543496,0.783576673
117391,3,3,3,3,Good,2.673119092,In,10,0.268715371,0.68543072
117608,3,3,3,3,Good,1.498735696,In,57,0.095685217,0.859232096
117950,2,3,3,3,Good,1.258103807,In,42,0.176432799,0.836254828
118551,3,3,1,3,Good,3.440392174,Outside AD,63,0.448685143,0.505149898
118722,3,3,1,3,Good,3.118119745,Outside AD,63,0.46546136,0.595222852
118756,3,3,3,3,Good,2.361701664,In,72,0.174001427,0.855916135
119169,2,3,3,3,Good,2.481278479,In,79,0.180558761,0.735863037
119290,3,3,3,3,Good,3.059956966,In,63,0.29843339,0.614339711
