model,term,refit_coefficient,reported_coefficient,absolute_difference
mouse_qstr,Intercept,3.083255387247835,3.0833,4.461275216494087e-05
mouse_qstr,AATS3p,-1.0391973426617074,-1.0392,2.6573382925221267e-06
mouse_qstr,F10[C-O],-0.034527711293060974,-0.0345,2.7711293060971032e-05
mouse_qstr,minHBint3,0.12498328521966871,0.125,1.6714780331286705e-05
mouse_qstr,P_VSA_charge_10,0.05160217208995687,0.0516,2.172089956870016e-06
mouse_qstr,P_VSA_charge_14,-0.03581120715058867,-0.0358,1.1207150588672665e-05
mouse_qstr,SM1_Dzm,0.4676009906998753,0.4676,9.906998753028695e-07
rat_qstr,Intercept,294.07820008724104,294.0931,0.014899912758949085
rat_qstr,AATSC7i,-0.6438273801257424,-0.6438,2.7380125742326733e-05
rat_qstr,CATS2D_08_DL,0.10786368842372604,0.1078,6.368842372603267e-05
rat_qstr,ChiA_X,-293.6919188200678,-293.7069,0.01498117993219239
rat_qstr,F06[C-N],0.07581347425920912,0.0758,1.3474259209111938e-05
rat_qstr,P_VSA_charge_10,0.0668170667367101,0.0668,1.7066736710105723e-05
mouse_qrastr,Intercept,1.5931963036031882,1.5932,3.6963968117476043e-06
mouse_qrastr,Abs MaxPos-MaxNeg,0.7254105442342037,0.7254,1.0544234203657687e-05
mouse_qrastr,B02[C-S],0.40142475829990093,0.4014,2.475829990095102e-05
mouse_qrastr,P_VSA_charge_10,0.037707135280064946,0.0377,7.13528006494879e-06
mouse_qrastr,sm1(GK)[Banerjee-Roy similarity coefficient 1],0.30757698519217036,0.3076,2.3014807829624395e-05
mouse_qrastr,SP-2,-0.06515093780810498,-0.0652,4.906219189501626e-05
mouse_qrastr,SPC-4,0.22490121310345423,0.2249,1.2131034542450791e-06
rat_qrastr,Intercept,-2.620002300360393,-2.62,2.3003603928373195e-06
rat_qrastr,CATS2D_08_DL,0.11389603091210287,0.1139,3.9690878971265775e-06
rat_qrastr,Eig06_EA(dm),0.30721059411979607,0.3072,1.0594119796092372e-05
rat_qrastr,JGI10,55.06919299481771,55.0692,7.0051822902428285e-06
rat_qrastr,P_VSA_charge_10,0.04434913316975836,0.0443,4.913316975835996e-05
rat_qrastr,PW3,11.810033595495906,11.81,3.3595495905203165e-05
mouse_to_rat_iqttr,Intercept,-0.24657560982685922,-0.24657560982685908,1.3877787807814457e-16
mouse_to_rat_iqttr,mouse_pLD50,1.0618214543728524,1.0618214543728524,0.0
rat_to_mouse_iqttr,Intercept,0.6421132156239867,0.6421132156239868,1.1102230246251565e-16
rat_to_mouse_iqttr,rat_pLD50,0.7264473617090209,0.7264473617090215,5.551115123125783e-16
