No.,CID,Score(MAE-LOO),Score(Proximity Train YObs Mean),Score(Similarity based AD),CompositeScore,PredictionQuality,YPred(Test),AD status,Closest Training Compound,Euclidean Distance,Generalized Jaccard Coeff.
1,6777,2,3,3,3,Good,1.39760341,In,1,0.008565731,0.913688687
2,6778,2,3,3,3,Good,1.804418279,In,12,0.031607212,0.908488447
3,6786,2,3,3,3,Good,1.404867962,In,1,0.011335989,0.88887651
4,6788,2,3,3,3,Good,1.252312386,In,11,0.021527356,0.665227952
5,6963,2,3,3,3,Good,1.542894435,In,17,0.002762855,0.983596984
6,8269,2,3,3,3,Good,2.327465968,In,23,0.021191221,0.969619764
7,8345,2,3,3,3,Good,1.833476484,In,12,0.017938346,0.948063566
8,8379,2,3,3,3,Good,1.310428796,In,11,9.88e-05,0.998465347
9,8380,2,3,3,3,Good,1.346751552,In,1,0.010826072,0.880607804
10,8560,2,3,3,3,Good,2.509079749,In,16,0.048466309,0.951533691
11,8571,2,3,3,3,Good,2.312936865,In,23,0.012675592,0.981603383
12,12111,2,3,3,3,Good,1.811682831,In,12,0.028189996,0.918382227
13,19283,2,3,3,3,Good,1.644598152,In,9,0.010080614,0.955755148
14,20393,2,3,3,3,Good,2.327465968,In,23,0.021191221,0.969619764
15,25689,2,3,3,3,Good,3.032127437,In,28,0.136645545,0.879781744
16,29321,2,3,3,3,Good,2.785132695,In,28,0.011523021,0.988476979
17,30948,2,3,3,3,Good,2.581725261,In,16,0.001926261,0.998077443
18,31315,2,3,3,3,Good,3.221005769,In,28,0.249950919,0.800031413
19,33154,2,3,3,3,Good,1.295899693,In,11,0.005307711,0.917459747
20,33599,2,3,3,3,Good,1.252312386,In,11,0.021527356,0.665227952
21,34277,2,3,3,3,Good,1.383074308,In,1,0.003025216,0.967714417
22,40399,2,3,3,3,Good,2.305672314,In,23,0.008417777,0.987706962
23,62629,2,3,3,3,Good,2.349259622,In,27,0.020985873,0.972805536
24,66540,2,3,3,3,Good,1.165137771,In,5,0.009713268,0
25,67846,2,3,3,3,Good,2.436434236,In,27,0.03301425,0.958973768
26,69046,2,3,3,3,Good,1.739037318,In,8,0.008800661,0.966672933
27,73864,2,3,3,3,Good,2.095000329,In,3,0.028740949,0.941212922
28,75903,2,3,3,3,Good,2.196704046,In,13,0.00507522,0.991328671
29,83119,2,3,3,3,Good,2.908630066,In,28,0.062561262,0.941122207
30,85537,2,3,3,3,Good,1.855270138,In,12,0.007686696,0.977744905
31,94652,2,3,3,3,Good,2.523608851,In,16,0.038387795,0.961612205
32,94965,2,3,3,3,Good,2.530873402,In,16,0.033348538,0.966651462
33,158455,2,3,3,3,Good,2.087735777,In,3,0.025032229,0.948407408
34,161559,2,3,3,3,Good,1.535629884,In,17,0.005730617,0.965977441
35,162076,2,3,3,3,Good,2.690693529,In,21,0.003585953,0.996426861
36,205831,2,3,3,3,Good,1.21598963,In,5,0.027492877,0
37,3079010,2,3,3,3,Good,2.407376031,In,27,0.015014209,0.98091521
38,9588367,2,3,3,3,Good,2.937688271,In,28,0.079992858,0.925932049
39,9588691,2,3,3,3,Good,2.901365515,In,28,0.058203363,0.944997942
 User-defined Weightage :,,,,,,,,,,,
 To Score MAE(Loo) ,0.5,,,,,,,,,,
 To Score (AD) ,0.5,,,,,,,,,,
 To Score (Mean) ,0,,,,,,,,,,
Internal validation metrics:,,,,,,,,,,,
R^2,0.74591,,,,,,,,,,
Q^2(LOO),0.69652,,,,,,,,,,
Avg Rm^2,0.59458,,,,,,,,,,
Delta Rm^2,0.18479,,,,,,,,,,
MAE (100% data),0.35623,,,,,,,,,,
MAE (95% data),0.33487,,,,,,,,,,
